model,method,n_bands,patch_size,fold,loss_fn,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
HybridSN,PCA,10,11,3,FocalLoss,0.838943,0.781389,0.862759,0.811502,0.890386,131.345,0.045162
HybridSN,PCA,20,11,1,FocalLoss,0.498778,0.601333,0.464593,0.478302,0.540992,118.486,0.04159
HybridSN,PCA,20,11,2,FocalLoss,0.552727,0.060278,0.834127,0.396419,0.753507,133.832,0.048014
HybridSN,PCA,20,11,3,FocalLoss,0.839187,0.686389,0.902414,0.801142,0.902173,166.869,0.043648
HybridSN,PCA,50,11,1,FocalLoss,0.553333,0.559333,0.551333,0.517173,0.54268,164.057,0.051573
HybridSN,PCA,50,11,2,FocalLoss,0.537576,0.023889,0.831111,0.366012,0.714962,228.795,0.054401
HybridSN,PCA,50,11,3,FocalLoss,0.796423,0.557222,0.895402,0.738625,0.8689,301.546,0.053636
HybridSN,PCA,100,11,1,FocalLoss,0.481444,0.517778,0.469333,0.454421,0.470608,379.146,0.083185
HybridSN,PCA,100,11,2,FocalLoss,0.576263,0.001944,0.904444,0.36713,0.726482,539.587,0.081385
HybridSN,PCA,100,11,3,FocalLoss,0.792683,0.349167,0.976207,0.682959,0.722296,578.273,0.080463
HybridSN,MI,4,11,1,FocalLoss,0.530722,0.815333,0.435852,0.523507,0.690916,88.575,0.043515
HybridSN,MI,4,11,2,FocalLoss,0.440909,0.664167,0.313333,0.439915,0.606366,117.137,0.046067
HybridSN,MI,4,11,3,FocalLoss,0.64935,0.860556,0.561954,0.641754,0.8223,109.175,0.044937
HybridSN,MI,10,11,1,FocalLoss,0.459556,0.743556,0.364889,0.455359,0.665869,104.0,0.041649
HybridSN,MI,10,11,2,FocalLoss,0.526667,0.614722,0.476349,0.523649,0.582109,144.206,0.048396
HybridSN,MI,10,11,3,FocalLoss,0.825203,0.828611,0.823793,0.802331,0.867091,58.841,0.043637
HybridSN,MI,20,11,1,FocalLoss,0.398278,0.768444,0.274889,0.398159,0.686895,151.702,0.074846
HybridSN,MI,20,11,2,FocalLoss,0.61,0.636111,0.595079,0.601342,0.637427,182.971,0.048715
HybridSN,MI,20,11,3,FocalLoss,0.67374,0.867778,0.593448,0.664521,0.807543,169.255,0.048585
HybridSN,MI,50,11,1,FocalLoss,0.483222,0.820444,0.370815,0.480454,0.655331,242.462,0.05764
HybridSN,MI,50,11,2,FocalLoss,0.735253,0.525278,0.855238,0.69751,0.765026,326.923,0.056259
HybridSN,MI,50,11,3,FocalLoss,0.80187,0.796111,0.804253,0.77668,0.834104,302.102,0.051847
HybridSN,MI,100,11,1,FocalLoss,0.687944,0.683111,0.689556,0.645397,0.724052,461.897,0.077369
HybridSN,MI,100,11,2,FocalLoss,0.623939,0.198889,0.866825,0.511786,0.725463,439.352,0.08297
HybridSN,MI,100,11,3,FocalLoss,0.787236,0.765278,0.796322,0.75956,0.819111,578.689,0.081863
HybridSN,LASSO,4,11,1,FocalLoss,0.539444,0.853111,0.434889,0.533499,0.793761,64.217,0.039824
HybridSN,LASSO,4,11,2,FocalLoss,0.496566,0.594444,0.440635,0.494479,0.589549,71.205,0.044185
HybridSN,LASSO,4,11,3,FocalLoss,0.755772,0.768056,0.75069,0.730509,0.833884,108.508,0.047818
HybridSN,LASSO,10,11,1,FocalLoss,0.5825,0.874889,0.485037,0.573527,0.83045,104.81,0.040135
HybridSN,LASSO,10,11,2,FocalLoss,0.61697,0.096111,0.914603,0.453371,0.690818,136.807,0.048832
HybridSN,LASSO,10,11,3,FocalLoss,0.871057,0.742778,0.924138,0.840748,0.931121,107.152,0.043588
HybridSN,LASSO,20,11,1,FocalLoss,0.810778,0.876889,0.788741,0.780324,0.919469,122.153,0.04233
HybridSN,LASSO,20,11,2,FocalLoss,0.641515,0.045556,0.982063,0.430858,0.862489,182.226,0.049049
HybridSN,LASSO,20,11,3,FocalLoss,0.876911,0.851667,0.887356,0.856344,0.94832,125.501,0.044192
HybridSN,LASSO,50,11,1,FocalLoss,0.836,0.894889,0.81637,0.806837,0.932024,241.919,0.051666
HybridSN,LASSO,50,11,2,FocalLoss,0.656162,0.128056,0.957937,0.496574,0.844575,326.988,0.055941
HybridSN,LASSO,50,11,3,FocalLoss,0.884797,0.850556,0.898966,0.864515,0.938704,301.863,0.054002
HybridSN,LASSO,100,11,1,FocalLoss,0.819722,0.764667,0.838074,0.777075,0.866199,460.936,0.076607
HybridSN,LASSO,100,11,2,FocalLoss,0.646364,0.048056,0.988254,0.435242,0.926628,550.663,0.081875
HybridSN,LASSO,100,11,3,FocalLoss,0.900163,0.889444,0.904598,0.883364,0.960694,578.625,0.086367
HybridSN,PCA,4,11,1,FocalLoss,0.470056,0.608889,0.423778,0.455111,0.516821,90.576,0.044048
HybridSN,PCA,4,11,2,FocalLoss,0.565354,0.101944,0.830159,0.427125,0.724433,118.412,0.046124
HybridSN,PCA,4,11,3,FocalLoss,0.837561,0.738333,0.878621,0.80562,0.875462,110.95,0.04269
HybridSN,PCA,10,11,1,FocalLoss,0.492111,0.587778,0.460222,0.471339,0.514049,105.597,0.042197
HybridSN,PCA,10,11,2,FocalLoss,0.566263,0.047778,0.86254,0.395481,0.760974,135.78,0.044598
