model,method,n_bands,fold,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
SVM,FullSpectrum,699,summary,0.7573+-0.1084,0.5762+-0.2969,0.8630+-0.1580,0.6893+-0.1480,0.8675+-0.0962,14274.2007+-17828.4405,12.3638+-6.5702
SVM,LASSO,10,summary,0.7164+-0.1016,0.5856+-0.3059,0.8030+-0.1760,0.6530+-0.1301,0.8293+-0.0627,180.7660+-69.0778,1.6476+-0.4824
SVM,LASSO,100,summary,0.7729+-0.1018,0.6460+-0.2622,0.8533+-0.1609,0.7238+-0.1219,0.8827+-0.0799,361.2283+-140.1246,1.8359+-0.4472
SVM,LASSO,20,summary,0.7577+-0.0871,0.6669+-0.2609,0.8229+-0.1558,0.7119+-0.1018,0.8659+-0.0617,179.9573+-72.9413,1.7427+-0.4965
SVM,LASSO,4,summary,0.6831+-0.1175,0.4966+-0.3425,0.7975+-0.2024,0.5926+-0.1675,0.6829+-0.1408,207.3050+-82.1908,2.2142+-0.7657
SVM,LASSO,50,summary,0.7657+-0.0895,0.6830+-0.2634,0.8272+-0.1554,0.7218+-0.1044,0.8851+-0.0552,283.3037+-119.5521,1.7518+-0.4213
SVM,MI,10,summary,0.7317+-0.1203,0.6707+-0.0172,0.7663+-0.1678,0.7037+-0.1164,0.7464+-0.0933,781.6130+-292.4806,7.3211+-1.8755
SVM,MI,100,summary,0.7531+-0.0366,0.7140+-0.0740,0.7738+-0.0433,0.7228+-0.0477,0.8103+-0.0522,1283.0200+-341.3601,6.5879+-1.2364
SVM,MI,20,summary,0.7313+-0.1176,0.6663+-0.0202,0.7677+-0.1644,0.7026+-0.1138,0.7357+-0.0886,13475.9783+-17934.8215,7.4918+-1.8732
SVM,MI,4,summary,0.7337+-0.1190,0.6717+-0.0152,0.7684+-0.1655,0.7056+-0.1155,0.7505+-0.0947,627.7823+-229.7476,7.0575+-2.0118
SVM,MI,50,summary,0.7305+-0.1116,0.6649+-0.0205,0.7663+-0.1554,0.7012+-0.1084,0.7405+-0.0809,1493.3240+-490.9559,6.4276+-2.1539
SVM,PCA,10,summary,0.6757+-0.1478,0.5888+-0.1655,0.7369+-0.2557,0.6354+-0.1262,0.7469+-0.1262,605.5847+-169.7605,6.1430+-1.0567
SVM,PCA,100,summary,0.6771+-0.1221,0.5386+-0.1950,0.7616+-0.2388,0.6238+-0.0953,0.7304+-0.0892,1799.5363+-587.3203,10.5274+-2.0776
SVM,PCA,20,summary,0.6649+-0.1550,0.5736+-0.1843,0.7301+-0.2722,0.6210+-0.1311,0.7424+-0.1165,784.5273+-257.1167,6.6631+-1.2736
SVM,PCA,4,summary,0.6725+-0.1177,0.5457+-0.1135,0.7433+-0.2124,0.6268+-0.0922,0.7490+-0.1154,453.2360+-238.9981,5.8138+-2.6246
SVM,PCA,50,summary,0.6811+-0.1335,0.5616+-0.1826,0.7571+-0.2412,0.6338+-0.1127,0.7350+-0.1097,1477.5347+-558.3010,7.7169+-1.8546
