model,method,n_bands,patch_size,token_size,fold,loss_fn,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms
ViT,LASSO,10,11,4,summary,FocalLoss,0.6522+-0.1432,0.8409+-0.1138,0.5883+-0.2032,0.6429+-0.1369,0.7782+-0.1028,489.4050+-62.6305,0.1023+-0.0107
ViT,LASSO,100,11,4,summary,FocalLoss,0.6144+-0.1281,0.8429+-0.1040,0.5244+-0.1568,0.6092+-0.1226,0.7535+-0.1094,515.9007+-65.5913,0.1158+-0.0014
ViT,LASSO,20,11,4,summary,FocalLoss,0.5913+-0.1883,0.8476+-0.0900,0.4766+-0.2559,0.5795+-0.1867,0.7659+-0.1266,488.1957+-59.8938,0.0963+-0.0019
ViT,LASSO,4,11,4,summary,FocalLoss,0.5374+-0.1465,0.7786+-0.0461,0.4290+-0.1985,0.5281+-0.1412,0.7172+-0.1001,490.1540+-61.4527,0.0981+-0.0020
ViT,LASSO,50,11,4,summary,FocalLoss,0.6158+-0.1419,0.8106+-0.0879,0.5255+-0.1803,0.6053+-0.1386,0.7526+-0.1240,500.8683+-63.0696,0.1070+-0.0058
ViT,MI,10,11,4,summary,FocalLoss,0.5163+-0.1948,0.8530+-0.0469,0.3646+-0.2765,0.4988+-0.1915,0.7900+-0.0621,191.6007+-95.1167,0.0959+-0.0050
ViT,MI,100,11,4,summary,FocalLoss,0.6755+-0.1633,0.8362+-0.0738,0.6130+-0.1891,0.6676+-0.1594,0.7985+-0.0987,294.4920+-185.3920,0.1148+-0.0052
ViT,MI,20,11,4,summary,FocalLoss,0.4813+-0.2396,0.9238+-0.0572,0.2820+-0.3640,0.4333+-0.2565,0.7856+-0.0731,153.1377+-42.6918,0.1027+-0.0055
ViT,MI,4,11,4,summary,FocalLoss,0.5388+-0.1734,0.8087+-0.0489,0.4108+-0.2706,0.5185+-0.1728,0.7467+-0.0620,465.0213+-49.0763,0.0957+-0.0039
ViT,MI,50,11,4,summary,FocalLoss,0.4671+-0.1730,0.8875+-0.0582,0.2770+-0.2453,0.4418+-0.1829,0.7907+-0.0703,162.7120+-32.9725,0.1075+-0.0038
ViT,PCA,10,11,4,summary,FocalLoss,0.6252+-0.1789,0.7018+-0.1277,0.6107+-0.2436,0.6079+-0.1685,0.7459+-0.1391,321.6917+-112.5210,0.0929+-0.0018
ViT,PCA,100,11,4,summary,FocalLoss,0.5907+-0.1800,0.6392+-0.0643,0.5856+-0.2683,0.5671+-0.1633,0.7432+-0.0657,249.9587+-191.4921,0.1164+-0.0016
ViT,PCA,20,11,4,summary,FocalLoss,0.4633+-0.2367,0.9188+-0.0577,0.2584+-0.3481,0.4149+-0.2545,0.7905+-0.0853,184.9000+-109.8838,0.0939+-0.0044
ViT,PCA,4,11,4,summary,FocalLoss,0.6280+-0.1804,0.5615+-0.3121,0.6826+-0.2149,0.5806+-0.1945,0.6220+-0.2235,419.5993+-50.4317,0.0876+-0.0028
ViT,PCA,50,11,4,summary,FocalLoss,0.4723+-0.2179,0.8349+-0.1168,0.3017+-0.3471,0.4279+-0.2260,0.7701+-0.0938,226.6077+-172.1374,0.1065+-0.0042
